state,CAMPING,FISHING,HIKING,Mortality
ID,25.78604902546785,22.691723142411707,27.848932947505276,250.55999999999997
MT,47.20060345526229,27.607900134210016,53.43464542105164,317.53636363636366
OR,8.018608832686303,6.839401651408905,11.792071812773974,232.4222222222222
WA,4.366932253211172,3.2109795979493914,7.834790218996515,256.5833333333333
WY,32.68080656230595,80.84199518044105,56.7614008713735,298.11538461538464
